InjectedRatio,Repeat,Model,ActualMeanSaturationRatio,MAE,RMSE,R2
0.1,1,QualityAwareTime,0.1,0.109701280949671,0.15201262207762,0.464758494576699
0.1,1,QualityGatedTime,0.1,0.109701280949671,0.15201262207762,0.464758494576699
0.1,2,AllSensorsTime,0.1,0.0955856167732175,0.14227996545773,0.531102426648778
0.1,2,QualityAwareTime,0.1,0.109701280949671,0.15201262207762,0.464758494576699
0.1,2,QualityGatedTime,0.1,0.109701280949671,0.15201262207762,0.464758494576699
0.1,3,AllSensorsTime,0.1,0.0960212644042974,0.142046809070402,0.53263794693642
0.1,3,QualityAwareTime,0.1,0.109701280949671,0.15201262207762,0.464758494576699
0.1,3,QualityGatedTime,0.1,0.109701280949671,0.15201262207762,0.464758494576699
0.1,4,AllSensorsTime,0.1,0.0960872906700563,0.142483088910824,0.529762644470657
0.1,4,QualityAwareTime,0.1,0.109701280949671,0.15201262207762,0.464758494576699
0.1,4,QualityGatedTime,0.1,0.109701280949671,0.15201262207762,0.464758494576699
0.1,5,AllSensorsTime,0.1,0.095169397830743,0.141573043902141,0.535750309897517
0.1,5,QualityAwareTime,0.1,0.109701280949671,0.15201262207762,0.464758494576699
0.1,5,QualityGatedTime,0.1,0.109701280949671,0.15201262207762,0.464758494576699
0.1,6,AllSensorsTime,0.1,0.0951590537893713,0.141556524817516,0.535858643126624
0.1,6,QualityAwareTime,0.1,0.109701280949671,0.15201262207762,0.464758494576699
0.1,6,QualityGatedTime,0.1,0.109701280949671,0.15201262207762,0.464758494576699
0.1,7,AllSensorsTime,0.1,0.0958564978637626,0.142195384100992,0.531659753246854
0.1,7,QualityAwareTime,0.1,0.109701280949671,0.15201262207762,0.464758494576699
0.1,7,QualityGatedTime,0.1,0.109701280949671,0.15201262207762,0.464758494576699
0.1,8,AllSensorsTime,0.1,0.0957535763280756,0.142379786121443,0.530444258286484
0.1,8,QualityAwareTime,0.1,0.109701280949671,0.15201262207762,0.464758494576699
0.1,8,QualityGatedTime,0.1,0.109701280949671,0.15201262207762,0.464758494576699
0.1,9,AllSensorsTime,0.1,0.0959395104449238,0.142480517279456,0.529779618642541
0.1,9,QualityAwareTime,0.1,0.109701280949671,0.15201262207762,0.464758494576699
0.1,9,QualityGatedTime,0.1,0.109701280949671,0.15201262207762,0.464758494576699
0.1,10,AllSensorsTime,0.1,0.0953536083545596,0.141494951591357,0.536262332964305
